"Step","main_2D_run - curl","main_2D_run - curl__MIN","main_2D_run - curl__MAX","scalar_potential_run - curl","scalar_potential_run - curl__MIN","scalar_potential_run - curl__MAX"
"5000","0.00004165198333794251","0.00004165198333794251","0.00004165198333794251","0.0004830773686990142","0.0004830773686990142","0.0004830773686990142"
"10000","0.00001562453508086037","0.00001562453508086037","0.00001562453508086037","0.00008325027010869235","0.00008325027010869235","0.00008325027010869235"
"15000","0.000008750196684559342","0.000008750196684559342","0.000008750196684559342","0.000013261940694064833","0.000013261940694064833","0.000013261940694064833"
"20000","0.000010916457540588453","0.000010916457540588453","0.000010916457540588453","0.000005293617505230941","0.000005293617505230941","0.000005293617505230941"
"25000","0.0000058556029216561","0.0000058556029216561","0.0000058556029216561","0.0000038096716252766782","0.0000038096716252766782","0.0000038096716252766782"
"30000","0.00000624906124357949","0.00000624906124357949","0.00000624906124357949","0.000004682951384893386","0.000004682951384893386","0.000004682951384893386"
"35000","0.000005940674782323185","0.000005940674782323185","0.000005940674782323185","0.000003459717845544219","0.000003459717845544219","0.000003459717845544219"
"40000","0.00000419668003814877","0.00000419668003814877","0.00000419668003814877","0.000004574065314955078","0.000004574065314955078","0.000004574065314955078"
"45000","0.000004012945737486007","0.000004012945737486007","0.000004012945737486007","0.000003404654989935807","0.000003404654989935807","0.000003404654989935807"
"50000","0.0000070105106715345755","0.0000070105106715345755","0.0000070105106715345755","0.0000027865405627380824","0.0000027865405627380824","0.0000027865405627380824"
"55000","0.000002111109324687277","0.000002111109324687277","0.000002111109324687277","0.0000032603843465039972","0.0000032603843465039972","0.0000032603843465039972"
"60000","0.000006671418304904364","0.000006671418304904364","0.000006671418304904364","0.00000344317959388718","0.00000344317959388718","0.00000344317959388718"
"65000","0.000003366893224665546","0.000003366893224665546","0.000003366893224665546","0.0000022350027393258642","0.0000022350027393258642","0.0000022350027393258642"
"70000","0.0000035226630643592216","0.0000035226630643592216","0.0000035226630643592216","0.000002981446414196398","0.000002981446414196398","0.000002981446414196398"
"75000","0.000002697413492569467","0.000002697413492569467","0.000002697413492569467","0.0000016216961284953868","0.0000016216961284953868","0.0000016216961284953868"
"80000","0.000001805961801437661","0.000001805961801437661","0.000001805961801437661","0.0000021539863155339845","0.0000021539863155339845","0.0000021539863155339845"
"85000","0.00000355828683495929","0.00000355828683495929","0.00000355828683495929","0.0000018347665218243492","0.0000018347665218243492","0.0000018347665218243492"
"90000","0.0000025027077299455414","0.0000025027077299455414","0.0000025027077299455414","0.000001925261813084944","0.000001925261813084944","0.000001925261813084944"
"95000","0.0000018302326907360111","0.0000018302326907360111","0.0000018302326907360111","0.0000023946649889694527","0.0000023946649889694527","0.0000023946649889694527"
"100000","0.000002047889438472339","0.000002047889438472339","0.000002047889438472339","0.0000023441220946551766","0.0000023441220946551766","0.0000023441220946551766"
"105000","0.0000021997357180225663","0.0000021997357180225663","0.0000021997357180225663","0.0000013011597275180975","0.0000013011597275180975","0.0000013011597275180975"
"110000","0.0000014658297686764854","0.0000014658297686764854","0.0000014658297686764854","0.0000015580092167510884","0.0000015580092167510884","0.0000015580092167510884"
"115000","0.000001947169494087575","0.000001947169494087575","0.000001947169494087575","0.0000010839318065336556","0.0000010839318065336556","0.0000010839318065336556"
"120000","0.000003840446424874244","0.000003840446424874244","0.000003840446424874244","0.0000014365075458044885","0.0000014365075458044885","0.0000014365075458044885"
"125000","0.0000025330675725854235","0.0000025330675725854235","0.0000025330675725854235","0.0000013844953627994983","0.0000013844953627994983","0.0000013844953627994983"
"130000","0.0000017952039570445777","0.0000017952039570445777","0.0000017952039570445777","0.0000014255090263759485","0.0000014255090263759485","0.0000014255090263759485"
